"bids_name" "variable" "value" "group"
"814" "sub-093_T1w" "fwhm_x" 4.21085686976511 "API"
"815" "sub-094_T1w" "fwhm_x" 4.03507518981553 "API"
"816" "sub-095_T1w" "fwhm_x" 4.13052670527684 "API"
"817" "sub-097_T1w" "fwhm_x" 4.19506999452118 "API"
"818" "sub-098_T1w" "fwhm_x" 3.92426772116747 "API"
"819" "sub-099_T1w" "fwhm_x" 4.17243382271528 "API"
"820" "sub-100_T1w" "fwhm_x" 3.90555415046816 "API"
"821" "sub-101_T1w" "fwhm_x" 4.24646316166427 "API"
"822" "sub-102_T1w" "fwhm_x" 4.00637376170303 "API"
"823" "sub-103_T1w" "fwhm_x" 4.14974031874429 "API"
"824" "sub-104_T1w" "fwhm_x" 4.30960253268169 "API"
"825" "sub-105_T1w" "fwhm_x" 4.1853989808919 "API"
"826" "sub-106_T1w" "fwhm_x" 4.05376319581907 "API"
"827" "sub-107_T1w" "fwhm_x" 4.16223767201719 "API"
"828" "sub-108_T1w" "fwhm_x" 3.96001667199874 "API"
"829" "sub-109_T1w" "fwhm_x" 4.03516593829478 "API"
"830" "sub-110_T1w" "fwhm_x" 4.11160430990001 "API"
"831" "sub-111_T1w" "fwhm_x" 4.22709647263583 "API"
"832" "sub-112_T1w" "fwhm_x" 3.86262335335699 "API"
"833" "sub-114_T1w" "fwhm_x" 4.2284660488692 "API"
"834" "sub-115_T1w" "fwhm_x" 4.33492410637272 "API"
"835" "sub-116_T1w" "fwhm_x" 4.30817743212615 "API"
"836" "sub-117_T1w" "fwhm_x" 4.07046577021331 "API"
"837" "sub-118_T1w" "fwhm_x" 4.08178199630572 "API"
"838" "sub-119_T1w" "fwhm_x" 4.14997265120923 "API"
"839" "sub-120_T1w" "fwhm_x" 4.14401986565449 "API"
"840" "sub-122_T1w" "fwhm_x" 3.96782026791304 "API"
"841" "sub-123_T1w" "fwhm_x" 3.87656686748155 "API"
"842" "sub-124_T1w" "fwhm_x" 4.15705768117834 "API"
"843" "sub-125_T1w" "fwhm_x" 4.19991401872546 "API"
"844" "sub-126_T1w" "fwhm_x" 3.86559299529487 "API"
"845" "sub-127_T1w" "fwhm_x" 4.19302574824764 "API"
"846" "sub-128_T1w" "fwhm_x" 4.05305937042878 "API"
"847" "sub-129_T1w" "fwhm_x" 3.78171413939907 "API"
"848" "sub-130_T1w" "fwhm_x" 3.96990070987356 "API"
"849" "sub-131_T1w" "fwhm_x" 3.99035783828961 "API"
"850" "sub-132_T1w" "fwhm_x" 3.99118284622393 "API"
"851" "sub-133_T1w" "fwhm_x" 4.04638228213829 "API"
"852" "sub-134_T1w" "fwhm_x" 4.10974559072133 "API"
"853" "sub-136_T1w" "fwhm_x" 4.00089050856255 "API"
"854" "sub-137_T1w" "fwhm_x" 4.05807313756107 "API"
"855" "sub-138_T1w" "fwhm_x" 4.16453854597168 "API"
"856" "sub-139_T1w" "fwhm_x" 3.86235933802273 "API"
"857" "sub-140_T1w" "fwhm_x" 4.03530507975002 "API"
"858" "sub-141_T1w" "fwhm_x" 4.18344867559181 "API"
"859" "sub-142_T1w" "fwhm_x" 4.25567014630829 "API"
"860" "sub-144_T1w" "fwhm_x" 4.06110783700235 "API"
"861" "sub-145_T1w" "fwhm_x" 4.07430238521467 "API"
"862" "sub-146_T1w" "fwhm_x" 4.12011382105831 "API"
"863" "sub-147_T1w" "fwhm_x" 4.02861761429701 "API"
"864" "sub-149_T1w" "fwhm_x" 4.11715822120162 "API"
"865" "sub-153_T1w" "fwhm_x" 4.09133780360757 "API"
"866" "sub-154_T1w" "fwhm_x" 3.96904720596961 "API"
"867" "sub-156_T1w" "fwhm_x" 4.18225866743486 "API"
"868" "sub-159_T1w" "fwhm_x" 4.02851761361155 "API"
"869" "sub-160_T1w" "fwhm_x" 4.13923156394225 "API"
"870" "sub-161_T1w" "fwhm_x" 4.02445695641349 "API"
